 #c	LogXsogliaToRo_positiveRoot	LogXsogliaToRo_conjugateRoot 	Re+Im	 

i_root_index== 1 Xsoglia_i_root== 20

37	1.4978661367769954e+00 +I* 2.6097830634824470e+00	1.4978661367769954e+00 +I* -2.6097830634824470e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
38	1.4978661367769954e+00 +I* -2.2755300014843338e+00	1.4978661367769954e+00 +I* 2.2755300014843338e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
39	1.4978661367769954e+00 +I* -8.3272177516812451e-01	1.4978661367769954e+00 +I* 8.3272177516812451e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
40	1.4978661367769954e+00 +I* -2.3916372869531060e+00	1.4978661367769954e+00 +I* 2.3916372869531060e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
41	1.4978661367769954e+00 +I* 1.5327719914026614e+00	1.4978661367769954e+00 +I* -1.5327719914026614e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
42	1.4978661367769954e+00 +I* -1.2675114111705248e+00	1.4978661367769954e+00 +I* 1.2675114111705248e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
43	1.4978661367769954e+00 +I* -1.3734967702817764e+00	1.4978661367769954e+00 +I* 1.3734967702817764e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
44	1.4978661367769954e+00 +I* -3.1361220766684079e+00	1.4978661367769954e+00 +I* 3.1361220766684079e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
45	1.4978661367769954e+00 +I* -2.1995926045829193e+00	1.4978661367769954e+00 +I* 2.1995926045829193e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
46	1.4978661367769954e+00 +I* 1.5720343278216389e+00	1.4978661367769954e+00 +I* -1.5720343278216389e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
47	1.4978661367769954e+00 +I* -9.3167157966968450e-01	1.4978661367769954e+00 +I* 9.3167157966968450e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
48	1.4978661367769954e+00 +I* -2.3617706036918329e+00	1.4978661367769954e+00 +I* 2.3617706036918329e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
49	1.4978661367769952e+00 +I* 1.7963057920011116e+00	1.4978661367769952e+00 +I* -1.7963057920011116e+00	2.9957322735539904e+00 +I* 0.0000000000000000e+00
50	1.4978661367769954e+00 +I* 1.4686362446468710e+00	1.4978661367769954e+00 +I* -1.4686362446468710e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
51	1.4978661367769954e+00 +I* -2.4430638314148352e+00	1.4978661367769954e+00 +I* 2.4430638314148352e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
52	1.4978661367769956e+00 +I* 1.8168674615789340e+00	1.4978661367769956e+00 +I* -1.8168674615789340e+00	2.9957322735539913e+00 +I* 0.0000000000000000e+00
53	1.4978661367769954e+00 +I* -2.8677315410596584e+00	1.4978661367769954e+00 +I* 2.8677315410596584e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
54	1.4978661367769954e+00 +I* -2.5844873079411801e-01	1.4978661367769954e+00 +I* 2.5844873079411801e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
55	1.4978661367769954e+00 +I* -2.5059626351035658e-01	1.4978661367769954e+00 +I* 2.5059626351035658e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
56	1.4978661367769954e+00 +I* 2.7170396900447673e+00	1.4978661367769954e+00 +I* -2.7170396900447673e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
57	1.4978661367769954e+00 +I* 8.8251680909289421e-01	1.4978661367769954e+00 +I* -8.8251680909289421e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
58	1.4978661367769954e+00 +I* -1.6500116915971617e+00	1.4978661367769954e+00 +I* 1.6500116915971617e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
59	1.4978661367769954e+00 +I* -9.2617921093393574e-01	1.4978661367769954e+00 +I* 9.2617921093393574e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
60	1.4978661367769954e+00 +I* -1.6912256702270603e+00	1.4978661367769954e+00 +I* 1.6912256702270603e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
61	1.4978661367769954e+00 +I* -4.6710589988032131e-01	1.4978661367769954e+00 +I* 4.6710589988032131e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
62	1.4978661367769954e+00 +I* -1.8163201525165018e+00	1.4978661367769954e+00 +I* 1.8163201525165018e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
63	1.4978661367769954e+00 +I* -2.3746610849344005e+00	1.4978661367769954e+00 +I* 2.3746610849344005e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
64	1.4978661367769954e+00 +I* 7.2852182559204018e-02	1.4978661367769954e+00 +I* -7.2852182559204018e-02	2.9957322735539909e+00 +I* 0.0000000000000000e+00
65	1.4978661367769954e+00 +I* -2.0084554743609422e+00	1.4978661367769954e+00 +I* 2.0084554743609422e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
66	1.4978661367769954e+00 +I* 2.0118172367483860e+00	1.4978661367769954e+00 +I* -2.0118172367483860e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
67	1.4978661367769954e+00 +I* 7.8243227505448310e-01	1.4978661367769954e+00 +I* -7.8243227505448310e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
68	1.4978661367769954e+00 +I* 2.9898464947540099e-01	1.4978661367769954e+00 +I* -2.9898464947540099e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
69	1.4978661367769954e+00 +I* -1.3737686887045937e+00	1.4978661367769954e+00 +I* 1.3737686887045937e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
70	1.4978661367769954e+00 +I* -7.9373135717202092e-01	1.4978661367769954e+00 +I* 7.9373135717202092e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
71	1.4978661367769954e+00 +I* 9.1270130921683523e-01	1.4978661367769954e+00 +I* -9.1270130921683523e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
72	1.4978661367769954e+00 +I* 3.0846072075435482e+00	1.4978661367769954e+00 +I* -3.0846072075435482e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
73	1.4978661367769956e+00 +I* 1.6844655062569835e+00	1.4978661367769956e+00 +I* -1.6844655062569835e+00	2.9957322735539913e+00 +I* 0.0000000000000000e+00
74	1.4978661367769952e+00 +I* 1.9529466813399872e+00	1.4978661367769952e+00 +I* -1.9529466813399872e+00	2.9957322735539904e+00 +I* 0.0000000000000000e+00
75	1.4978661367769954e+00 +I* -2.7915669667698295e+00	1.4978661367769954e+00 +I* 2.7915669667698295e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
76	1.4978661367769954e+00 +I* 3.6293911728268446e-01	1.4978661367769954e+00 +I* -3.6293911728268446e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
77	1.4978661367769954e+00 +I* 6.2542882781842335e-01	1.4978661367769954e+00 +I* -6.2542882781842335e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
78	1.4978661367769954e+00 +I* -8.3163178666561954e-01	1.4978661367769954e+00 +I* 8.3163178666561954e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
79	1.4978661367769954e+00 +I* 2.5805072729123335e+00	1.4978661367769954e+00 +I* -2.5805072729123335e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
80	1.4978661367769954e+00 +I* -2.4973345239632255e-01	1.4978661367769954e+00 +I* 2.4973345239632255e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
81	1.4978661367769954e+00 +I* -2.8511637953781013e+00	1.4978661367769954e+00 +I* 2.8511637953781013e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
82	1.4978661367769954e+00 +I* 2.2295981405695331e+00	1.4978661367769954e+00 +I* -2.2295981405695331e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
83	1.4978661367769952e+00 +I* -4.4372977697748711e-01	1.4978661367769952e+00 +I* 4.4372977697748711e-01	2.9957322735539904e+00 +I* 0.0000000000000000e+00
84	1.4978661367769954e+00 +I* 7.9536865473701535e-01	1.4978661367769954e+00 +I* -7.9536865473701535e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
85	1.4978661367769954e+00 +I* -4.8194802333386694e-01	1.4978661367769954e+00 +I* 4.8194802333386694e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
86	1.4978661367769954e+00 +I* -4.3215530422039083e-01	1.4978661367769954e+00 +I* 4.3215530422039083e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
87	1.4978661367769954e+00 +I* -1.7514122341209877e+00	1.4978661367769954e+00 +I* 1.7514122341209877e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
88	1.4978661367769954e+00 +I* 1.8404707618702394e+00	1.4978661367769954e+00 +I* -1.8404707618702394e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
89	1.4978661367769954e+00 +I* 4.1935893466876062e-01	1.4978661367769954e+00 +I* -4.1935893466876062e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
90	1.4978661367769954e+00 +I* 2.8178057562487622e+00	1.4978661367769954e+00 +I* -2.8178057562487622e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
91	1.4978661367769952e+00 +I* 1.4685915036125250e+00	1.4978661367769952e+00 +I* -1.4685915036125250e+00	2.9957322735539904e+00 +I* 0.0000000000000000e+00
92	1.4978661367769954e+00 +I* -2.6696494957024131e+00	1.4978661367769954e+00 +I* 2.6696494957024131e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
93	1.4978661367769954e+00 +I* -1.2358284662068733e+00	1.4978661367769954e+00 +I* 1.2358284662068733e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
94	1.4978661367769954e+00 +I* 1.6880062327818115e+00	1.4978661367769954e+00 +I* -1.6880062327818115e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
95	1.4978661367769954e+00 +I* 2.7084162085267867e+00	1.4978661367769954e+00 +I* -2.7084162085267867e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
96	1.4978661367769954e+00 +I* 2.1650539374766513e+00	1.4978661367769954e+00 +I* -2.1650539374766513e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
97	1.4978661367769954e+00 +I* 1.6127044696059030e+00	1.4978661367769954e+00 +I* -1.6127044696059030e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
98	1.4978661367769954e+00 +I* -2.4626261519644062e+00	1.4978661367769954e+00 +I* 2.4626261519644062e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
99	1.4978661367769954e+00 +I* 2.6480931067187550e+00	1.4978661367769954e+00 +I* -2.6480931067187550e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
100	1.4978661367769954e+00 +I* -1.4373594412091315e+00	1.4978661367769954e+00 +I* 1.4373594412091315e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00

END #c	LogXsogliaToRo_positiveRoot	LogXsogliaToRo_conjugateRoot 	Re+Im	 

