 #c	ExpEi_LogXRo_positiveRoot	ExpEi_LogXRo_conjugateRoot 	Re+Im	 

i_root_index== 1 Xsoglia_i_root== 20

37	6.0035392889348338e-01 +I* 4.5790320474390986e+00	6.0035392889348338e-01 +I* -4.5790320474390986e+00	1.2007078577869668e+00 +I* 0.0000000000000000e+00
38	1.1148819166430262e+00 +I* -4.5009421733340904e+00	1.1148819166430262e+00 +I* 4.5009421733340904e+00	2.2297638332860523e+00 +I* 0.0000000000000000e+00
39	3.0511013412881436e+00 +I* -2.3374905575195077e+00	3.0511013412881436e+00 +I* 2.3374905575195077e+00	6.1022026825762872e+00 +I* 0.0000000000000000e+00
40	9.3293795413944214e-01 +I* -4.5449996934286609e+00	9.3293795413944214e-01 +I* 4.5449996934286609e+00	1.8658759082788843e+00 +I* 0.0000000000000000e+00
41	2.2523810518777454e+00 +I* 3.7585741336701957e+00	2.2523810518777454e+00 +I* -3.7585741336701957e+00	4.5047621037554908e+00 +I* 0.0000000000000000e+00
42	2.6012253403611876e+00 +I* -3.2976779338187741e+00	2.6012253403611876e+00 +I* 3.2976779338187741e+00	5.2024506807223752e+00 +I* 0.0000000000000000e+00
43	2.4676338429281302e+00 +I* -3.4938405565317647e+00	2.4676338429281302e+00 +I* 3.4938405565317647e+00	4.9352676858562603e+00 +I* 0.0000000000000000e+00
44	-1.0562796542659558e-01 +I* -4.4304607288036992e+00	-1.0562796542659558e-01 +I* 4.4304607288036992e+00	-2.1125593085319117e-01 +I* 0.0000000000000000e+00
45	1.2348157573362877e+00 +I* -4.4619662199161709e+00	1.2348157573362877e+00 +I* 4.4619662199161709e+00	2.4696315146725754e+00 +I* 0.0000000000000000e+00
46	2.1969530667028421e+00 +I* 3.8181779894095098e+00	2.1969530667028421e+00 +I* -3.8181779894095098e+00	4.3939061334056841e+00 +I* 0.0000000000000000e+00
47	2.9638424643219108e+00 +I* -2.5765924925088459e+00	2.9638424643219108e+00 +I* 2.5765924925088459e+00	5.9276849286438216e+00 +I* 0.0000000000000000e+00
48	9.7950950362993316e-01 +I* -4.5354353538487375e+00	9.7950950362993316e-01 +I* 4.5354353538487375e+00	1.9590190072598663e+00 +I* 0.0000000000000000e+00
49	1.8659260191764044e+00 +I* 4.1150621757769708e+00	1.8659260191764044e+00 +I* -4.1150621757769708e+00	3.7318520383528089e+00 +I* 0.0000000000000000e+00
50	2.3409949326793500e+00 +I* 3.6563749845346138e+00	2.3409949326793500e+00 +I* -3.6563749845346138e+00	4.6819898653587000e+00 +I* 0.0000000000000000e+00
51	8.5322921654891004e-01 +I* -4.5586456630563292e+00	8.5322921654891004e-01 +I* 4.5586456630563292e+00	1.7064584330978201e+00 +I* 0.0000000000000000e+00
52	1.8345623233487960e+00 +I* 4.1385490568150125e+00	1.8345623233487960e+00 +I* -4.1385490568150125e+00	3.6691246466975920e+00 +I* 0.0000000000000000e+00
53	2.3312026674867892e-01 +I* -4.5434630402080298e+00	2.3312026674867892e-01 +I* 4.5434630402080298e+00	4.6624053349735783e-01 +I* 0.0000000000000000e+00
54	3.3650652750094627e+00 +I* -7.6690184132610006e-01	3.3650652750094627e+00 +I* 7.6690184132610006e-01	6.7301305500189255e+00 +I* 0.0000000000000000e+00
55	3.3670553561103431e+00 +I* -7.4387413384100909e-01	3.3670553561103431e+00 +I* 7.4387413384100909e-01	6.7341107122206862e+00 +I* 0.0000000000000000e+00
56	4.4351326433789534e-01 +I* 4.5737074481131481e+00	4.4351326433789534e-01 +I* -4.5737074481131481e+00	8.8702652867579068e-01 +I* 0.0000000000000000e+00
57	3.0083658212321862e+00 +I* 2.4592227245198721e+00	3.0083658212321862e+00 +I* -2.4592227245198721e+00	6.0167316424643724e+00 +I* 0.0000000000000000e+00
58	2.0844438894777682e+00 +I* -3.9298396516607519e+00	2.0844438894777682e+00 +I* 3.9298396516607519e+00	4.1688877789555363e+00 +I* 0.0000000000000000e+00
59	2.9689314054126865e+00 +I* -2.5636188629715670e+00	2.9689314054126865e+00 +I* 2.5636188629715670e+00	5.9378628108253730e+00 +I* 0.0000000000000000e+00
60	2.0237878202579314e+00 +I* -3.9852310839982645e+00	2.0237878202579314e+00 +I* 3.9852310839982645e+00	4.0475756405158627e+00 +I* 0.0000000000000000e+00
61	3.2894637522568946e+00 +I* -1.3671005089054749e+00	3.2894637522568946e+00 +I* 1.3671005089054749e+00	6.5789275045137892e+00 +I* 0.0000000000000000e+00
62	1.8353989574986012e+00 +I* -4.1379320188728812e+00	1.8353989574986012e+00 +I* 4.1379320188728812e+00	3.6707979149972023e+00 +I* 0.0000000000000000e+00
