14,1347
21,022
25,0109
30,4249
32,9351
37,5862
40,9187
43,3271
48,0052
49,7738
52,9703
56,4462
59,347
60,8318
65,1125
67,0798
69,5464
72,0672
75,7047
77,1448
79,3374
82,9104
84,7355
87,4253
88,8091
92,4919
94,6513
95,8706
98,8312
101,318
103,726
105,447
107,169
111,03
111,875
114,32
116,227
118,791
121,37
122,947
124,257
127,517
129,579
131,088
133,498
134,757
138,116
139,736
141,124
143,112
146,001
147,423
150,054
150,925
153,025
156,113
157,598
158,85
161,189
163,031
165,537
167,184
169,095
169,912
173,412
174,754
176,441
178,377
179,916
182,207
184,874
185,599
187,229
189,416
192,027
193,08
195,265
196,876
198,015
201,265
202,494
204,19
205,395
207,906
209,577
211,691
213,348
214,547
216,17
219,068
220,715
221,431
224,007
224,983
227,421
229,337
231,25
231,987
233,693
236,524
