 #c	ExpEi_LogXRo_positiveRoot	ExpEi_LogXRo_conjugateRoot 	Re+Im	 

i_root_index== 2 Xsoglia_i_root== 4.47214

1	7.2493529627897468e-01 +I* 3.6753432640938519e+00	7.2493529627897468e-01 +I* -3.6753432640938519e+00	1.4498705925579494e+00 +I* 0.0000000000000000e+00
2	1.3101336140072943e+00 +I* 2.0357845346951348e-01	1.3101336140072943e+00 +I* -2.0357845346951348e-01	2.6202672280145887e+00 +I* 0.0000000000000000e+00
3	1.3318175441245848e+00 +I* -6.5559992511434240e-01	1.3318175441245848e+00 +I* 6.5559992511434240e-01	2.6636350882491695e+00 +I* 0.0000000000000000e+00
4	1.2187559909183818e+00 +I* 3.1321849660921219e+00	1.2187559909183818e+00 +I* -3.1321849660921219e+00	2.4375119818367637e+00 +I* 0.0000000000000000e+00
5	1.4263159027079175e+00 +I* -2.2055648834596564e+00	1.4263159027079175e+00 +I* 2.2055648834596564e+00	2.8526318054158351e+00 +I* 0.0000000000000000e+00
6	1.3343678263445602e+00 +I* -6.9160882755123121e-01	1.3343678263445602e+00 +I* 6.9160882755123121e-01	2.6687356526891204e+00 +I* 0.0000000000000000e+00
7	1.2442454183508889e+00 +I* -3.0781769826562440e+00	1.2442454183508889e+00 +I* 3.0781769826562440e+00	2.4884908367017777e+00 +I* 0.0000000000000000e+00
8	9.1474409479338981e-01 +I* 3.5398487714231730e+00	9.1474409479338981e-01 +I* -3.5398487714231730e+00	1.8294881895867796e+00 +I* 0.0000000000000000e+00
9	3.7237834543347387e-01 +I* 3.7865213621292746e+00	3.7237834543347387e-01 +I* -3.7865213621292746e+00	7.4475669086694773e-01 +I* 0.0000000000000000e+00
10	1.4292579831683614e+00 +I* -2.0429099422415908e+00	1.4292579831683614e+00 +I* 2.0429099422415908e+00	2.8585159663367228e+00 +I* 0.0000000000000000e+00
11	7.1230719344358195e-01 +I* -3.6822423653693948e+00	7.1230719344358195e-01 +I* 3.6822423653693948e+00	1.4246143868871639e+00 +I* 0.0000000000000000e+00
12	3.1673879678616124e-01 +I* 3.7895308537856973e+00	3.1673879678616124e-01 +I* -3.7895308537856973e+00	6.3347759357232247e-01 +I* 0.0000000000000000e+00
13	1.4265725523747643e+00 +I* 2.1987668875639117e+00	1.4265725523747643e+00 +I* -2.1987668875639117e+00	2.8531451047495286e+00 +I* 0.0000000000000000e+00
14	1.3841154149782833e-01 +I* -3.7715845965151420e+00	1.3841154149782833e-01 +I* 3.7715845965151420e+00	2.7682308299565667e-01 +I* 0.0000000000000000e+00
15	2.2349314650334026e-01 +I* -3.7855929554299128e+00	2.2349314650334026e-01 +I* 3.7855929554299128e+00	4.4698629300668052e-01 +I* 0.0000000000000000e+00
16	1.3090804006699170e+00 +I* -1.5347601550119702e-01	1.3090804006699170e+00 +I* 1.5347601550119702e-01	2.6181608013398341e+00 +I* 0.0000000000000000e+00
17	4.8156365060514544e-01 +I* -3.7692980569913419e+00	4.8156365060514544e-01 +I* 3.7692980569913419e+00	9.6312730121029089e-01 +I* 0.0000000000000000e+00
18	1.3967592985154873e+00 +I* 2.5354923527495736e+00	1.3967592985154873e+00 +I* -2.5354923527495736e+00	2.7935185970309746e+00 +I* 0.0000000000000000e+00
19	1.3442282752491732e+00 +I* 8.2009968487603568e-01	1.3442282752491732e+00 +I* -8.2009968487603568e-01	2.6884565504983464e+00 +I* 0.0000000000000000e+00
20	6.2384331176650598e-01 +I* 3.7241034467748331e+00	6.2384331176650598e-01 +I* -3.7241034467748331e+00	1.2476866235330120e+00 +I* 0.0000000000000000e+00
