 #c	LogXsogliaToRo_positiveRoot	LogXsogliaToRo_conjugateRoot 	Re+Im	 

i_root_index== 2 Xsoglia_i_root== 4.47214

37	7.4893306838849771e-01 +I* -1.8367011218485414e+00	7.4893306838849771e-01 +I* 1.8367011218485414e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
38	7.4893306838849771e-01 +I* 2.0038276528476544e+00	7.4893306838849771e-01 +I* -2.0038276528476544e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
39	7.4893306838849771e-01 +I* -4.1636088758403389e-01	7.4893306838849771e-01 +I* 4.1636088758403389e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
40	7.4893306838849771e-01 +I* 1.9457740101132683e+00	7.4893306838849771e-01 +I* -1.9457740101132683e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
41	7.4893306838849771e-01 +I* -2.3752066578884339e+00	7.4893306838849771e-01 +I* 2.3752066578884339e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
42	7.4893306838849771e-01 +I* 2.5078369480045590e+00	7.4893306838849771e-01 +I* -2.5078369480045590e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
43	7.4893306838849771e-01 +I* -6.8674838514085990e-01	7.4893306838849771e-01 +I* 6.8674838514085990e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
44	7.4893306838849771e-01 +I* 1.5735316152556174e+00	7.4893306838849771e-01 +I* -1.5735316152556174e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
45	7.4893306838849771e-01 +I* -1.0997963022914028e+00	7.4893306838849771e-01 +I* 1.0997963022914028e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
46	7.4893306838849771e-01 +I* 7.8601716391084786e-01	7.4893306838849771e-01 +I* -7.8601716391084786e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
47	7.4893306838849771e-01 +I* -4.6583578983481388e-01	7.4893306838849771e-01 +I* 4.6583578983481388e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
48	7.4893306838849771e-01 +I* 1.9607073517439051e+00	7.4893306838849771e-01 +I* -1.9607073517439051e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
49	7.4893306838849771e-01 +I* -2.2434397575892087e+00	7.4893306838849771e-01 +I* 2.2434397575892087e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
50	7.4893306838849771e-01 +I* 7.3431812232346383e-01	7.4893306838849771e-01 +I* -7.3431812232346383e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
51	7.4893306838849771e-01 +I* -1.2215319157073894e+00	7.4893306838849771e-01 +I* 1.2215319157073894e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
52	7.4893306838849771e-01 +I* 9.0843373078949541e-01	7.4893306838849771e-01 +I* -9.0843373078949541e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
53	7.4893306838849794e-01 +I* -1.4338657705298008e+00	7.4893306838849794e-01 +I* 1.4338657705298008e+00	1.4978661367769959e+00 +I* 0.0000000000000000e+00
54	7.4893306838849771e-01 +I* -1.2922436539703058e-01	7.4893306838849771e-01 +I* 1.2922436539703058e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
55	7.4893306838849749e-01 +I* 3.0162945218346433e+00	7.4893306838849749e-01 +I* -3.0162945218346433e+00	1.4978661367769950e+00 +I* 0.0000000000000000e+00
56	7.4893306838849771e-01 +I* 1.3585198450224121e+00	7.4893306838849771e-01 +I* -1.3585198450224121e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
57	7.4893306838849771e-01 +I* -2.7003342490433178e+00	7.4893306838849771e-01 +I* 2.7003342490433178e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
58	7.4893306838849771e-01 +I* -8.2500584579852410e-01	7.4893306838849771e-01 +I* 8.2500584579852410e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
59	7.4893306838849771e-01 +I* 2.6785030481228538e+00	7.4893306838849771e-01 +I* -2.6785030481228538e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
60	7.4893306838849771e-01 +I* -8.4561283511347318e-01	7.4893306838849771e-01 +I* 8.4561283511347318e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
61	7.4893306838849749e-01 +I* 2.9080397036496608e+00	7.4893306838849749e-01 +I* -2.9080397036496608e+00	1.4978661367769950e+00 +I* 0.0000000000000000e+00
62	7.4893306838849771e-01 +I* -9.0816007625822248e-01	7.4893306838849771e-01 +I* 9.0816007625822248e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
63	7.4893306838849771e-01 +I* 1.9542621111226210e+00	7.4893306838849771e-01 +I* -1.9542621111226210e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
64	7.4893306838849771e-01 +I* -3.1051665623101625e+00	7.4893306838849771e-01 +I* 3.1051665623101625e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
65	7.4893306838849771e-01 +I* 2.1373649164093220e+00	7.4893306838849771e-01 +I* -2.1373649164093220e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
66	7.4893306838849771e-01 +I* -2.1356840352155433e+00	7.4893306838849771e-01 +I* 2.1356840352155433e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
67	7.4893306838849771e-01 +I* 3.9121613752724155e-01	7.4893306838849771e-01 +I* -3.9121613752724155e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
68	7.4893306838849771e-01 +I* -2.9921003288520360e+00	7.4893306838849771e-01 +I* 2.9921003288520360e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
69	7.4893306838849771e-01 +I* -6.8688434435229673e-01	7.4893306838849771e-01 +I* 6.8688434435229673e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
70	7.4893306838849771e-01 +I* 2.7447269750038394e+00	7.4893306838849771e-01 +I* -2.7447269750038394e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
71	7.4893306838849771e-01 +I* 4.5635065460847446e-01	7.4893306838849771e-01 +I* -4.5635065460847446e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
72	7.4893306838849771e-01 +I* 1.5423036037717741e+00	7.4893306838849771e-01 +I* -1.5423036037717741e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
73	7.4893306838849771e-01 +I* -2.2993599004612442e+00	7.4893306838849771e-01 +I* 2.2993599004612442e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
74	7.4893306838849771e-01 +I* 9.7647334066999358e-01	7.4893306838849771e-01 +I* -9.7647334066999358e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
75	7.4893306838849771e-01 +I* -1.3957834833848579e+00	7.4893306838849771e-01 +I* 1.3957834833848579e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
76	7.4893306838849771e-01 +I* 1.8146955864134223e-01	7.4893306838849771e-01 +I* -1.8146955864134223e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
77	7.4893306838849771e-01 +I* -2.8288782396805248e+00	7.4893306838849771e-01 +I* 2.8288782396805248e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
78	7.4893306838849771e-01 +I* -4.1581589333275298e-01	7.4893306838849771e-01 +I* 4.1581589333275298e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
79	7.4893306838849771e-01 +I* 1.2902536364562236e+00	7.4893306838849771e-01 +I* -1.2902536364562236e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
80	7.4893306838849771e-01 +I* -1.2486672619816129e-01	7.4893306838849771e-01 +I* 1.2486672619816129e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
81	7.4893306838849771e-01 +I* 1.7160107559007993e+00	7.4893306838849771e-01 +I* -1.7160107559007993e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
82	7.4893306838849771e-01 +I* -2.0267935833050261e+00	7.4893306838849771e-01 +I* 2.0267935833050261e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
83	7.4893306838849771e-01 +I* -2.2186488848868668e-01	7.4893306838849771e-01 +I* 2.2186488848868668e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
84	7.4893306838849771e-01 +I* -2.7439083262212853e+00	7.4893306838849771e-01 +I* 2.7439083262212853e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
85	7.4893306838849771e-01 +I* -2.4097401166693350e-01	7.4893306838849771e-01 +I* 2.4097401166693350e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
86	7.4893306838849749e-01 +I* 2.9255150014796545e+00	7.4893306838849749e-01 +I* -2.9255150014796545e+00	1.4978661367769950e+00 +I* 0.0000000000000000e+00
87	7.4893306838849771e-01 +I* -8.7570611706043699e-01	7.4893306838849771e-01 +I* 8.7570611706043699e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
88	7.4893306838849771e-01 +I* 9.2023538093517665e-01	7.4893306838849771e-01 +I* -9.2023538093517665e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
89	7.4893306838849771e-01 +I* -2.9319131862553558e+00	7.4893306838849771e-01 +I* 2.9319131862553558e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
