 #c	ExpEi_LogXRo_positiveRoot	ExpEi_LogXRo_conjugateRoot

55	7.4748753302594007e-01 +I* -3.2625571205860826e+00	7.4748753302594007e-01 +I* 3.2625571205860826e+00
56	4.1414786359689881e-01 +I* 1.1730614913023951e+00	4.1414786359689881e-01 +I* -1.1730614913023951e+00
57	8.8862949375759903e-01 +I* 2.5073005776813408e+00	8.8862949375759903e-01 +I* -2.5073005776813408e+00
58	7.7072110252770021e-01 +I* 3.2242597538413253e+00	7.7072110252770021e-01 +I* -3.2242597538413253e+00
59	6.8685857863257993e-01 +I* -3.3445978062607065e+00	6.8685857863257993e-01 +I* 3.3445978062607065e+00
60	6.1399840304733289e-01 +I* -1.6329264360886373e+00	6.1399840304733289e-01 +I* 1.6329264360886373e+00
61	8.5667042274864369e-01 +I* 2.3221993392746176e+00	8.5667042274864369e-01 +I* -2.3221993392746176e+00
62	4.8124209004420299e-01 +I* 3.5106219086838095e+00	4.8124209004420299e-01 +I* -3.5106219086838095e+00
63	6.2058085293225129e-01 +I* -3.4133233552621354e+00	6.2058085293225129e-01 +I* 3.4133233552621354e+00
64	6.2058085293225129e-01 +I* -3.4133233552621354e+00	6.2058085293225129e-01 +I* 3.4133233552621354e+00
65	8.0104404461771106e-01 +I* 2.1162938954966077e+00	8.0104404461771106e-01 +I* -2.1162938954966077e+00
66	8.5963969785052852e-01 +I* 3.0071586705754143e+00	8.5963969785052852e-01 +I* -3.0071586705754143e+00
67	1.6903740538632575e-01 +I* 3.5710270521467833e+00	1.6903740538632575e-01 +I* -3.5710270521467833e+00
68	8.5798296734064938e-01 +I* -3.0131396889182192e+00	8.5798296734064938e-01 +I* 3.0131396889182192e+00
69	8.0435722176050428e-01 +I* -2.1268993859099963e+00	8.0435722176050428e-01 +I* 2.1268993859099963e+00
70	8.8676675000448335e-01 +I* 2.8770568600261601e+00	8.8676675000448335e-01 +I* -2.8770568600261601e+00
71	2.3681061300500184e-01 +I* 3.5743519859167314e+00	2.3681061300500184e-01 +I* -3.5743519859167314e+00
72	4.7765845347572833e-01 +I* -3.5124570250625746e+00	4.7765845347572833e-01 +I* 3.5124570250625746e+00
73	8.5875689901980834e-01 +I* -2.3316960178936363e+00	8.5875689901980834e-01 +I* 2.3316960178936363e+00
74	6.0791298191758314e-01 +I* 1.6189675958443459e+00	6.0791298191758314e-01 +I* -1.6189675958443459e+00
75	3.0765511930837514e-01 +I* 3.5681060924864161e+00	3.0765511930837514e-01 +I* -3.5681060924864161e+00
76	4.0403558473544310e-01 +I* -3.5438604606145678e+00	4.0403558473544310e-01 +I* 3.5438604606145678e+00
77	8.8963718293463334e-01 +I* -2.5158661200789423e+00	8.8963718293463334e-01 +I* 2.5158661200789423e+00
78	4.2162363583529588e-01 +I* -1.1911233160486145e+00	4.2162363583529588e-01 +I* 1.1911233160486145e+00
79	8.9504176389959444e-01 +I* 2.5709416118349764e+00	8.9504176389959444e-01 +I* -2.5709416118349764e+00
80	3.3080452794639736e-01 +I* -3.5639528309108472e+00	3.3080452794639736e-01 +I* 3.5639528309108472e+00
81	7.0997393581226320e-01 +I* -3.3159023744200145e+00	7.0997393581226320e-01 +I* 3.3159023744200145e+00
82	5.6642896556087674e-01 +I* -1.5246179778628663e+00	5.6642896556087674e-01 +I* 1.5246179778628663e+00
83	3.1769157159055633e-01 +I* 9.2207451585798716e-01	3.1769157159055633e-01 +I* -9.2207451585798716e-01
84	8.0306208611160879e-01 +I* 3.1618313086073973e+00	8.0306208611160879e-01 +I* -3.1618313086073973e+00
85	2.5919859739927670e-01 +I* -3.5734341358503903e+00	2.5919859739927670e-01 +I* 3.5734341358503903e+00
86	8.9249702167240319e-01 +I* -2.8322769365093885e+00	8.9249702167240319e-01 +I* 2.8322769365093885e+00
87	1.8927900676257214e-01 +I* 4.5180503682206380e-01	1.8927900676257214e-01 +I* -4.5180503682206380e-01
88	8.2451157261207331e-01 +I* 2.1949248040778628e+00	8.2451157261207331e-01 +I* -2.1949248040778628e+00
89	5.2725998588424394e-01 +I* 3.4843244592853191e+00	5.2725998588424394e-01 +I* -3.4843244592853191e+00
90	8.6975898770144622e-01 +I* -2.9671193267665901e+00	8.6975898770144622e-01 +I* 2.9671193267665901e+00
91	7.7775010134849132e-01 +I* -2.0452816873925115e+00	7.7775010134849132e-01 +I* 2.0452816873925115e+00
92	1.4833442488489601e-01 +I* -8.4976783167068234e-02	1.4833442488489601e-01 +I* 8.4976783167068234e-02
93	5.9845214969954630e-01 +I* 3.4325675996591181e+00	5.9845214969954630e-01 +I* -3.4325675996591181e+00
94	5.9845214969954630e-01 +I* 3.4325675996591181e+00	5.9845214969954630e-01 +I* -3.4325675996591181e+00
95	8.3406618740286353e-01 +I* -3.0873188769915796e+00	8.3406618740286353e-01 +I* 3.0873188769915796e+00
96	2.2297724468423352e-01 +I* -6.0751379110551917e-01	2.2297724468423352e-01 +I* 6.0751379110551917e-01
97	8.9656992986275474e-01 +I* 2.7872584387450865e+00	8.9656992986275474e-01 +I* -2.7872584387450865e+00
98	8.9656992986275474e-01 +I* 2.7872584387450865e+00	8.9656992986275474e-01 +I* -2.7872584387450865e+00
99	2.8122901139865741e-01 +I* 3.5715764172031350e+00	2.8122901139865741e-01 +I* -3.5715764172031350e+00
100	8.8079207127433279e-01 +I* -2.4501209953798924e+00	8.8079207127433279e-01 +I* 2.4501209953798924e+00

END #c	ExpEi_LogXRo_positiveRoot	ExpEi_LogXRo_conjugateRoot

