 #c	LogXsogliaToRo_positiveRoot	LogXsogliaToRo_conjugateRoot

55	3.8376418216567437e-01 +I* -1.9486810937158028e+00	3.8376418216567437e-01 +I* 1.9486810937158028e+00
56	3.8376418216567437e-01 +I* 3.5390399927824734e-01	3.8376418216567437e-01 +I* -3.5390399927824734e-01
57	3.8376418216567437e-01 +I* 1.1214323636095880e+00	3.8376418216567437e-01 +I* -1.1214323636095880e+00
58	3.8376418216567437e-01 +I* 1.8889607279409426e+00	3.8376418216567437e-01 +I* -1.8889607279409426e+00
59	3.8376418216567421e-01 +I* -2.0916394862445933e+00	3.8376418216567421e-01 +I* 2.0916394862445933e+00
60	3.8376418216567437e-01 +I* -5.5658275758189779e-01	3.8376418216567437e-01 +I* 5.5658275758189779e-01
61	3.8376418216567454e-01 +I* 9.7847397108079770e-01	3.8376418216567454e-01 +I* -9.7847397108079770e-01
62	3.8376418216567437e-01 +I* 2.5135306997434790e+00	3.8376418216567437e-01 +I* -2.5135306997434790e+00
63	3.8376418216567437e-01 +I* -2.2345978787733980e+00	3.8376418216567437e-01 +I* 2.2345978787733980e+00
64	3.8376418216567437e-01 +I* -2.2345978787733980e+00	3.8376418216567437e-01 +I* 2.2345978787733980e+00
65	3.8376418216567437e-01 +I* 8.3551557855199321e-01	3.8376418216567437e-01 +I* -8.3551557855199321e-01
66	3.8376418216567437e-01 +I* 1.6030439428833478e+00	3.8376418216567437e-01 +I* -1.6030439428833478e+00
67	3.8376418216567437e-01 +I* 3.1381006715460575e+00	3.8376418216567437e-01 +I* -3.1381006715460575e+00
68	3.8376418216567421e-01 +I* -1.6100279069708474e+00	3.8376418216567421e-01 +I* 1.6100279069708474e+00
69	3.8376418216567421e-01 +I* -8.4249954263949256e-01	3.8376418216567421e-01 +I* 8.4249954263949256e-01
70	3.8376418216567454e-01 +I* 1.4600855503545436e+00	3.8376418216567454e-01 +I* -1.4600855503545436e+00
71	3.8376418216567437e-01 +I* 2.9951422790172533e+00	3.8376418216567437e-01 +I* -2.9951422790172533e+00
72	3.8376418216567437e-01 +I* -2.5205146638309781e+00	3.8376418216567437e-01 +I* 2.5205146638309781e+00
73	3.8376418216567437e-01 +I* -9.8545793516829716e-01	3.8376418216567437e-01 +I* 9.8545793516829716e-01
74	3.8376418216567437e-01 +I* 5.4959879349441254e-01	3.8376418216567437e-01 +I* -5.4959879349441254e-01
75	3.8376418216567437e-01 +I* 2.8521838864884486e+00	3.8376418216567437e-01 +I* -2.8521838864884486e+00
76	3.8376418216567454e-01 +I* -2.6634730563597828e+00	3.8376418216567454e-01 +I* 2.6634730563597828e+00
77	3.8376418216567437e-01 +I* -1.1284163276971015e+00	3.8376418216567437e-01 +I* 1.1284163276971015e+00
78	3.8376418216567437e-01 +I* -3.6088796336574680e-01	3.8376418216567437e-01 +I* 3.6088796336574680e-01
79	3.8376418216567437e-01 +I* 1.1741687652969628e+00	3.8376418216567437e-01 +I* -1.1741687652969628e+00
80	3.8376418216567437e-01 +I* -2.8064314488885875e+00	3.8376418216567437e-01 +I* 2.8064314488885875e+00
81	3.8376418216567421e-01 +I* -2.0389030845572327e+00	3.8376418216567421e-01 +I* 2.0389030845572327e+00
82	3.8376418216567437e-01 +I* -5.0384635589455129e-01	3.8376418216567437e-01 +I* 5.0384635589455129e-01
83	3.8376418216567437e-01 +I* 2.6368200843680351e-01	3.8376418216567437e-01 +I* -2.6368200843680351e-01
84	3.8376418216567437e-01 +I* 1.7987387370995132e+00	3.8376418216567437e-01 +I* -1.7987387370995132e+00
85	3.8376418216567454e-01 +I* -2.9493898414173918e+00	3.8376418216567454e-01 +I* 2.9493898414173918e+00
86	3.8376418216567437e-01 +I* -1.4143331127546823e+00	3.8376418216567437e-01 +I* 1.4143331127546823e+00
87	3.8376418216567421e-01 +I* 1.2072361590799902e-01	3.8376418216567421e-01 +I* -1.2072361590799902e-01
