 #c	LogXsogliaToRo_positiveRoot	LogXsogliaToRo_conjugateRoot 	Re+Im	 

i_root_index== 3 Xsoglia_i_root== 2.71442

1	4.9928871225899840e-01 +I* 1.5482217079753577e+00	4.9928871225899840e-01 +I* -1.5482217079753577e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
2	4.9928871225899840e-01 +I* 2.1425386966785700e+00	4.9928871225899840e-01 +I* -2.1425386966785700e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
3	4.9928871225899857e-01 +I* -1.5742112184117574e-01	4.9928871225899857e-01 +I* 1.5742112184117574e-01	9.9857742451799714e-01 +I* 0.0000000000000000e+00
4	4.9928871225899840e-01 +I* -1.0343082526803269e+00	4.9928871225899840e-01 +I* 1.0343082526803269e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
5	4.9928871225899840e-01 +I* 1.4723207983447455e+00	4.9928871225899840e-01 +I* -1.4723207983447455e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
6	4.9928871225899840e-01 +I* -1.6638104965918787e-01	4.9928871225899840e-01 +I* 1.6638104965918787e-01	9.9857742451799680e-01 +I* 0.0000000000000000e+00
7	4.9928871225899840e-01 +I* -3.1218070896325418e+00	4.9928871225899840e-01 +I* 3.1218070896325418e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
8	4.9928871225899840e-01 +I* -7.1683322042339792e-01	4.9928871225899840e-01 +I* 7.1683322042339792e-01	9.9857742451799680e-01 +I* 0.0000000000000000e+00
9	4.9928871225899840e-01 +I* -2.3285734779653442e+00	4.9928871225899840e-01 +I* 2.3285734779653442e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
10	4.9928871225899840e-01 +I* -5.6248944496281628e-01	4.9928871225899840e-01 +I* 5.6248944496281628e-01	9.9857742451799680e-01 +I* 0.0000000000000000e+00
11	4.9928871225899829e-01 +I* 2.6294632925089636e+00	4.9928871225899829e-01 +I* -2.6294632925089636e+00	9.9857742451799658e-01 +I* 0.0000000000000000e+00
12	4.9928871225899840e-01 +I* -1.8276674478852548e-01	4.9928871225899840e-01 +I* 1.8276674478852548e-01	9.9857742451799680e-01 +I* 0.0000000000000000e+00
13	4.9928871225899840e-01 +I* 2.7139066482532832e+00	4.9928871225899840e-01 +I* -2.7139066482532832e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
14	4.9928871225899840e-01 +I* -2.0865908990019788e+00	4.9928871225899840e-01 +I* 2.0865908990019788e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
15	4.9928871225899840e-01 +I* 2.1880194821322023e+00	4.9928871225899840e-01 +I* -2.1880194821322023e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
16	4.9928871225899840e-01 +I* -2.1306644577931122e+00	4.9928871225899840e-01 +I* 2.1306644577931122e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
17	4.9928871225899840e-01 +I* 3.3242661752297392e-01	4.9928871225899840e-01 +I* -3.3242661752297392e-01	9.9857742451799680e-01 +I* 0.0000000000000000e+00
18	4.9928871225899857e-01 +I* 2.8496405892479304e+00	4.9928871225899857e-01 +I* -2.8496405892479304e+00	9.9857742451799714e-01 +I* 0.0000000000000000e+00
19	4.9928871225899840e-01 +I* 1.9878066375256923e-01	4.9928871225899840e-01 +I* -1.9878066375256923e-01	9.9857742451799680e-01 +I* 0.0000000000000000e+00
20	4.9928871225899840e-01 +I* 1.6368320128009342e+00	4.9928871225899840e-01 +I* -1.6368320128009342e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
21	4.9928871225899840e-01 +I* -2.4568724333804925e+00	4.9928871225899840e-01 +I* 2.4568724333804925e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
22	4.9928871225899840e-01 +I* 1.1110447044223020e+00	4.9928871225899840e-01 +I* -1.1110447044223020e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
23	4.9928871225899840e-01 +I* 2.9335483619101019e+00	4.9928871225899840e-01 +I* -2.9335483619101019e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
24	4.9928871225899840e-01 +I* -6.6366338880098741e-01	4.9928871225899840e-01 +I* 6.6366338880098741e-01	9.9857742451799680e-01 +I* 0.0000000000000000e+00
25	4.9928871225899840e-01 +I* 7.1816805124703020e-01	4.9928871225899840e-01 +I* -7.1816805124703020e-01	9.9857742451799680e-01 +I* 0.0000000000000000e+00
26	4.9928871225899829e-01 +I* -1.8874563169176746e+00	4.9928871225899829e-01 +I* 1.8874563169176746e+00	9.9857742451799658e-01 +I* 0.0000000000000000e+00
27	4.9928871225899840e-01 +I* 2.6887177358648617e-01	4.9928871225899840e-01 +I* -2.6887177358648617e-01	9.9857742451799680e-01 +I* 0.0000000000000000e+00
28	4.9928871225899840e-01 +I* 1.4864372273012696e+00	4.9928871225899840e-01 +I* -1.4864372273012696e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
29	4.9928871225899840e-01 +I* -1.8403597568503367e+00	4.9928871225899840e-01 +I* 1.8403597568503367e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
30	4.9928871225899840e-01 +I* 6.4290258244102061e-01	4.9928871225899840e-01 +I* -6.4290258244102061e-01	9.9857742451799680e-01 +I* 0.0000000000000000e+00
31	4.9928871225899840e-01 +I* 3.0474770206803572e+00	4.9928871225899840e-01 +I* -3.0474770206803572e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
32	4.9928871225899840e-01 +I* -1.5171565389037454e+00	4.9928871225899840e-01 +I* 1.5171565389037454e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
33	4.9928871225899840e-01 +I* 2.0239378611623529e-01	4.9928871225899840e-01 +I* -2.0239378611623529e-01	9.9857742451799680e-01 +I* 0.0000000000000000e+00
34	4.9928871225899840e-01 +I* -2.2252840849993634e+00	4.9928871225899840e-01 +I* 2.2252840849993634e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
35	4.9928871225899840e-01 +I* -1.3814861612816474e+00	4.9928871225899840e-01 +I* 1.3814861612816474e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
36	4.9928871225899840e-01 +I* 1.0600356416648493e+00	4.9928871225899840e-01 +I* -1.0600356416648493e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
37	4.9928871225899840e-01 +I* 2.9643227902206730e+00	4.9928871225899840e-01 +I* -2.9643227902206730e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
38	4.9928871225899840e-01 +I* -7.5851000049477801e-01	4.9928871225899840e-01 +I* 7.5851000049477801e-01	9.9857742451799680e-01 +I* 0.0000000000000000e+00
39	4.9928871225899840e-01 +I* 1.8168211773371490e+00	4.9928871225899840e-01 +I* -1.8168211773371490e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
40	4.9928871225899840e-01 +I* -2.8916075313775642e+00	4.9928871225899840e-01 +I* 2.8916075313775642e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
41	4.9928871225899840e-01 +I* -1.5834711052589845e+00	4.9928871225899840e-01 +I* 1.5834711052589845e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
42	4.9928871225899840e-01 +I* 1.6718912986696728e+00	4.9928871225899840e-01 +I* -1.6718912986696728e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
43	4.9928871225899840e-01 +I* -2.5522273591537874e+00	4.9928871225899840e-01 +I* 2.5522273591537874e+00	9.9857742451799680e-01 +I* 0.0000000000000000e+00
