14,1347
21,0220
25,0109
30,4249
32,9351
37,5862
40,9187
43,3271
48,0052
49,7738
52,9703
56,4462
59,3470
60,8318
65,1125
67,0798
69,5464
72,0672
75,7047
77,1448
79,3374
82,9104
84,7355
87,4253
88,8091
92,4919
94,6513
95,8706
98,8312
101,3180
103,7260
105,4470
107,1690
111,0300
111,8750
114,3200
116,2270
118,7910
121,3700
122,9470
124,2570
127,5170
129,5790
131,0880
133,4980
134,7570
138,1160
139,7360
141,1240
143,1120
146,0010
147,4230
150,0540
150,9250
153,0250
156,1130
157,5980
158,8500
161,1890
163,0310
165,5370
167,1840
169,0950
169,9120
173,4120
174,7540
176,4410
178,3770
179,9160
182,2070
184,8740
185,5990
187,2290
189,4160
192,0270
193,0800
195,2650
196,8760
198,0150
201,2650
202,4940
204,1900
205,3950
207,9060
209,5770
211,6910
213,3480
214,5470
216,1700
219,0680
220,7150
221,4310
224,0070
224,9830
227,4210
229,3370
231,2500
231,9870
233,6930
236,5240
237,7700
239,5550
241,0490
242,8230
244,0710
247,1370
248,1020
249,5740
251,0150
253,0700
255,3060
256,3810
258,6100
259,8740
260,8050
263,5740
265,5580
266,6150
267,9220
269,9700
271,4940
273,4600
275,5870
276,4520
278,2510
279,2290
282,4650
283,2110
284,8360
286,6670
287,9120
289,5800
291,8460
293,5580
294,9650
295,5730
297,9790
299,8400
301,6490
302,6970
304,8640
305,7290
307,2190
310,1090
311,1650
312,4280
313,9850
315,4760
317,7350
318,8530
321,1600
322,1450
323,4670
324,8630
327,4440
329,0330
329,9530
331,4740
333,6450
334,2110
336,8420
338,3400
339,8580
341,0420
342,0550
344,6620
346,3480
347,2730
349,3160
350,4080
351,8790
353,4890
356,0180
357,1510
357,9530
359,7440
361,2890
363,3310
364,7360
366,2130
367,9940
368,9680
370,0510
373,0620
373,8650
375,8260
376,3240
378,4370
379,8730
381,4840
383,4440
384,9560
385,8610
387,2230
388,8460
391,4560
392,2450
393,4280
395,5830
396,3820
 
